"Time_Casa","Visitante","Prob_Vitoria_Casa","Prob_Vitoria_Visitante"
"Los Angeles Lakers","Houston Rockets",0.50397791455872,0.49602208544128
"Atlanta Hawks","Portland Trail Blazers",0.503954349234943,0.496045650765057
"New York Knicks","Philadelphia 76ers",0.513659418708574,0.486340581291426
"San Antonio Spurs","Orlando Magic",0.504361210877373,0.495638789122627
"Chicago Bulls","Toronto Raptors",0.503488794282479,0.496511205717521
"Memphis Grizzlies","Golden State Warriors",0.506712468969121,0.493287531030879
"Milwaukee Bucks","Phoenix Suns",0.511936977569307,0.488063022430693
"Denver Nuggets","Minnesota Timberwolves",0.503224158845687,0.496775841154313
"Cleveland Cavaliers","New York Knicks",0.511271191703409,0.488728808296591
"Indiana Pacers","Charlotte Hornets",0.516090306013268,0.483909693986732
"Washington Wizards","Sacramento Kings",0.487743979980748,0.512256020019252
"Boston Celtics","Miami Heat",0.512772468927612,0.487227531072388
"Houston Rockets","Utah Jazz",0.515783288652925,0.484216711347075
"Oklahoma City Thunder","Detroit Pistons",0.511539870558066,0.488460129441934
"Dallas Mavericks","Atlanta Hawks",0.505656877897991,0.494343122102009
"Denver Nuggets","San Antonio Spurs",0.511140701626353,0.488859298373647
"LA Clippers","New Orleans Pelicans",0.52276707530648,0.47723292469352
"Washington Wizards","Orlando Magic",0.491127488999489,0.508872511000511
"Brooklyn Nets","Minnesota Timberwolves",0.489131189665949,0.510868810334051
"Miami Heat","Memphis Grizzlies",0.497937344673757,0.502062655326243
"Philadelphia 76ers","Milwaukee Bucks",0.496787160582271,0.503212839417729
"Toronto Raptors","Portland Trail Blazers",0.503100742416394,0.496899257583606
"Los Angeles Lakers","Golden State Warriors",0.503833252552296,0.496166747447704
"Charlotte Hornets","Sacramento Kings",0.494974554707379,0.505025445292621
"Indiana Pacers","Utah Jazz",0.512028496864991,0.487971503135009
"Boston Celtics","Phoenix Suns",0.513983690727877,0.486016309272123
"Toronto Raptors","Detroit Pistons",0.492884077362851,0.507115922637149
"Chicago Bulls","Portland Trail Blazers",0.501184981913434,0.498815018086566
"Houston Rockets","Oklahoma City Thunder",0.495801094026877,0.504198905973123
"San Antonio Spurs","Cleveland Cavaliers",0.490850392126052,0.509149607873948
"Golden State Warriors","Denver Nuggets",0.500060606060606,0.499939393939394
"Los Angeles Lakers","New Orleans Pelicans",0.520626336309898,0.479373663690102
"LA Clippers","Dallas Mavericks",0.512941011173639,0.487058988826361
"Atlanta Hawks","New York Knicks",0.495723756866068,0.504276243133932
"Detroit Pistons","Memphis Grizzlies",0.498613911290323,0.501386088709677
"Philadelphia 76ers","Minnesota Timberwolves",0.490981169474727,0.509018830525273
"Miami Heat","Milwaukee Bucks",0.502651618166984,0.497348381833016
"LA Clippers","Dallas Mavericks",0.512941011173639,0.487058988826361
"Charlotte Hornets","Chicago Bulls",0.496701321136144,0.503298678863856
"Brooklyn Nets","Toronto Raptors",0.501378169790518,0.498621830209482
"Oklahoma City Thunder","Los Angeles Lakers",0.518796276589786,0.481203723410214
"Atlanta Hawks","Utah Jazz",0.506159380207906,0.493840619792094
"Boston Celtics","Washington Wizards",0.521720602084462,0.478279397915538
"Cleveland Cavaliers","Sacramento Kings",0.51396235699348,0.48603764300652
"Portland Trail Blazers","San Antonio Spurs",0.503647002932484,0.496352997067516
"New York Knicks","Phoenix Suns",0.512489787025437,0.487510212974563
"Denver Nuggets","Indiana Pacers",0.507383358155842,0.492616641844158
"New Orleans Pelicans","Milwaukee Bucks",0.497549834680733,0.502450165319267
"Golden State Warriors","Houston Rockets",0.500094661802506,0.499905338197494
"Detroit Pistons","Sacramento Kings",0.501520330296336,0.498479669703664
"Miami Heat","Philadelphia 76ers",0.506743160674142,0.493256839325858
"Charlotte Hornets","Memphis Grizzlies",0.492122279282293,0.507877720717707
"Cleveland Cavaliers","Chicago Bulls",0.515422308811138,0.484577691188862
"Indiana Pacers","Washington Wizards",0.516582410311459,0.483417589688541
"Orlando Magic","Atlanta Hawks",0.503579189569219,0.496420810430781
"Brooklyn Nets","New Orleans Pelicans",0.506964730960281,0.493035269039719
"New York Knicks","Boston Celtics",0.497387459807074,0.502612540192926
"Milwaukee Bucks","Minnesota Timberwolves",0.503428677333663,0.496571322666337
"Oklahoma City Thunder","Los Angeles Lakers",0.518796276589786,0.481203723410214
"Phoenix Suns","Golden State Warriors",0.49972079341859,0.50027920658141
"LA Clippers","San Antonio Spurs",0.513660372533821,0.486339627466179
"Orlando Magic","Boston Celtics",0.490748120586833,0.509251879413167
"Washington Wizards","Philadelphia 76ers",0.493311254406198,0.506688745593802
"Toronto Raptors","Charlotte Hornets",0.509306972932314,0.490693027067686
"Dallas Mavericks","Los Angeles Lakers",0.506396613104975,0.493603386895025
"Chicago Bulls","Miami Heat",0.498853142843157,0.501146857156843
"Utah Jazz","Portland Trail Blazers",0.498673907552412,0.501326092447588
"Golden State Warriors","San Antonio Spurs",0.507766575625766,0.492233424374234
"Phoenix Suns","Oklahoma City Thunder",0.491211000843225,0.508788999156775
"Sacramento Kings","Denver Nuggets",0.500080845972254,0.499919154027746
"LA Clippers","Houston Rockets",0.505940594059406,0.494059405940594
"Detroit Pistons","New York Knicks",0.498673852891999,0.501326147108001
"Indiana Pacers","Cleveland Cavaliers",0.494841459929234,0.505158540070766
"Brooklyn Nets","Atlanta Hawks",0.495260622659759,0.504739377340241
"Milwaukee Bucks","New Orleans Pelicans",0.520469334515094,0.479530665484906
"Memphis Grizzlies","Minnesota Timberwolves",0.50635131865473,0.49364868134527
"Detroit Pistons","Milwaukee Bucks",0.503301132947245,0.496698867052755
"Indiana Pacers","Orlando Magic",0.5085532661023,0.4914467338977
"Philadelphia 76ers","Atlanta Hawks",0.496930300405707,0.503069699594293
"Boston Celtics","Charlotte Hornets",0.521268145944941,0.478731854055059
"New York Knicks","Cleveland Cavaliers",0.498097624704903,0.501902375295097
"Chicago Bulls","Washington Wizards",0.507857938373964,0.492142061626036
"New Orleans Pelicans","Miami Heat",0.498964153319498,0.501035846680502
"Dallas Mavericks","Toronto Raptors",0.511921167096501,0.488078832903499
"Minnesota Timberwolves","Brooklyn Nets",0.511681803946132,0.488318196053868
"Denver Nuggets","Memphis Grizzlies",0.504016679953394,0.495983320046606
"Utah Jazz","Oklahoma City Thunder",0.481252937436068,0.518747062563932
"Phoenix Suns","San Antonio Spurs",0.507455720628147,0.492544279371853
"Portland Trail Blazers","Golden State Warriors",0.495889839668356,0.504110160331644
"Sacramento Kings","LA Clippers",0.504316906325231,0.495683093674769
"Los Angeles Lakers","Houston Rockets",0.50397791455872,0.49602208544128
"Atlanta Hawks","Orlando Magic",0.502394113033656,0.497605886966344
"Boston Celtics","Charlotte Hornets",0.521268145944941,0.478731854055059
"Brooklyn Nets","New York Knicks",0.490386627116888,0.509613372883112
"Cleveland Cavaliers","Indiana Pacers",0.514436382551633,0.485563617448367
"Miami Heat","Washington Wizards",0.513344363436753,0.486655636563247
"Philadelphia 76ers","Chicago Bulls",0.496811631169494,0.503188368830506
"Milwaukee Bucks","Detroit Pistons",0.502582173886627,0.497417826113373
"Houston Rockets","Denver Nuggets",0.50448307410796,0.49551692589204
"Memphis Grizzlies","Dallas Mavericks",0.513552156946884,0.486447843053116
"Minnesota Timberwolves","Utah Jazz",0.513855664468233,0.486144335531767
"New Orleans Pelicans","Oklahoma City Thunder",0.483854527324599,0.516145472675401
"San Antonio Spurs","Toronto Raptors",0.50817128847602,0.49182871152398
"Golden State Warriors","LA Clippers",0.504393355586323,0.495606644413677
"Portland Trail Blazers","Los Angeles Lakers",0.50178653967499,0.49821346032501
"Sacramento Kings","Phoenix Suns",0.508069323564159,0.491930676435841
