"Time_Casa","Visitante","Prob_Vitoria_Casa","Prob_Vitoria_Visitante","Placar_Estimado_Casa","Placar_Estimado_Fora"
"Detroit Pistons","Milwaukee Bucks",0.503301132947245,0.496698867052755,114,111
"Indiana Pacers","Orlando Magic",0.5085532661023,0.4914467338977,119,104
"Philadelphia 76ers","Atlanta Hawks",0.496930300405707,0.503069699594293,110,117
"Boston Celtics","Charlotte Hornets",0.521268145944941,0.478731854055059,117,105
"New York Knicks","Cleveland Cavaliers",0.498097624704903,0.501902375295097,118,122
"Chicago Bulls","Washington Wizards",0.507857938373964,0.492142061626036,116,107
"New Orleans Pelicans","Miami Heat",0.498964153319498,0.501035846680502,112,107
"Dallas Mavericks","Toronto Raptors",0.511921167096501,0.488078832903499,114,108
"Minnesota Timberwolves","Brooklyn Nets",0.511681803946132,0.488318196053868,115,107
"Denver Nuggets","Memphis Grizzlies",0.504016679953394,0.495983320046606,123,121
"Utah Jazz","Oklahoma City Thunder",0.481252937436068,0.518747062563932,112,118
"Phoenix Suns","San Antonio Spurs",0.507455720628147,0.492544279371853,115,111
"Portland Trail Blazers","Golden State Warriors",0.495889839668356,0.504110160331644,113,114
"Sacramento Kings","LA Clippers",0.504316906325231,0.495683093674769,118,110
"Los Angeles Lakers","Houston Rockets",0.50397791455872,0.49602208544128,115,114
"Atlanta Hawks","Orlando Magic",0.502394113033656,0.497605886966344,117,104
"Boston Celtics","Charlotte Hornets",0.521268145944941,0.478731854055059,117,105
"Brooklyn Nets","New York Knicks",0.490386627116888,0.509613372883112,104,115
"Cleveland Cavaliers","Indiana Pacers",0.514436382551633,0.485563617448367,123,115
"Miami Heat","Washington Wizards",0.513344363436753,0.486655636563247,111,107
"Philadelphia 76ers","Chicago Bulls",0.496811631169494,0.503188368830506,110,118
"Milwaukee Bucks","Detroit Pistons",0.502582173886627,0.497417826113373,117,116
"Houston Rockets","Denver Nuggets",0.50448307410796,0.49551692589204,113,119
"Memphis Grizzlies","Dallas Mavericks",0.513552156946884,0.486447843053116,124,116
"Minnesota Timberwolves","Utah Jazz",0.513855664468233,0.486144335531767,115,113
"New Orleans Pelicans","Oklahoma City Thunder",0.483854527324599,0.516145472675401,112,118
"San Antonio Spurs","Toronto Raptors",0.50817128847602,0.49182871152398,117,108
"Golden State Warriors","LA Clippers",0.504393355586323,0.495606644413677,113,110
"Portland Trail Blazers","Los Angeles Lakers",0.50178653967499,0.49821346032501,113,111
"Sacramento Kings","Phoenix Suns",0.508069323564159,0.491930676435841,118,114
